
time,time ns,angle,cadence,motorTargetCadence,pid,corrente effettiva Quad Sx,corrente effettiva Glut Sx,corrente effettiva Hams Sx,corrente effettiva Gastro Sx,corrente effettiva Quad Dx,corrente effettiva Glut Dx,corrente effettiva Hams Dx,corrente effettiva Gastro Dx,duty_cycle,motor_current,stimDistance,totalDistance,linearVelocity,powerLeft,powerRight,newDataLeft,newDataRight,connectedLeft,connectedRight,heart-rate
165901,-1603362717,43.7622,37.6675,35,0,0,0,0,0,0,0,0,0,38,28.0589,90.128,125.76,12.431,1,0,0,0,1,1,0
165911,-1593362902,45.9814,37.6674,35,0,0,0,0,0,0,0,0,0,38,28.0589,90.128,125.76,12.431,1,0,0,0,1,1,0
165921,-1583362569,48.1567,37.6674,35,0,0,0,0,0,0,0,0,0,38,28.0589,90.128,125.76,12.431,1,0,0,0,1,1,0
165931,-1573363032,50.354,37.6674,35,0,0,0,0,0,0,0,0,0,38,28.0589,90.128,125.76,12.431,1,0,0,0,1,1,0
165941,-1563363162,52.5513,37.6674,35,0,0,0,0,0,0,0,0,0,38,28.0589,90.128,125.76,12.431,1,0,0,0,1,1,0
165951,-1553362291,54.6826,37.4585,35,0,0,0,0,0,0,0,0,0,38,28.0589,90.128,125.76,12.431,1,0,0,0,1,1,0
165961,-1543363199,56.8359,37.3725,35,0,0,0,0,0,0,0,0,0,38,28.0589,90.128,125.76,12.431,1,0,0,0,1,1,0
165971,-1533363087,58.9673,37.3424,35,0,0,0,0,0,0,0,0,0,38,28.0589,90.128,125.76,12.431,1,0,0,0,1,1,0
165981,-1523361847,61.0547,37.332,35,0,0,0,0,0,0,0,0,0,38,28.0589,90.128,125.76,12.431,1,0,0,0,1,1,0
165991,-1513362513,63.3179,37.3283,35,0,0,0,0,0,0,0,0,0,38,28.0589,90.128,125.76,12.431,1,0,0,0,1,1,0
166009,-1495155976,65.4053,37.3271,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166011,-1493353921,67.4487,37.3266,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166021,-1483365143,69.6021,37.3265,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166031,-1473367013,71.6455,37.3264,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166041,-1463367717,73.7329,37.3264,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166051,-1453366662,75.8862,37.3264,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166061,-1443367643,77.9297,37.3264,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166071,-1433367551,80.0171,37.3264,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166081,-1423367365,82.1704,37.3264,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166091,-1413367328,84.1699,36.3,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166101,-1403367717,86.2134,35.5417,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166111,-1393367384,88.1909,35.2773,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166121,-1383351014,90.3223,35.1851,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166131,-1373366551,92.3438,35.153,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166141,-1363366976,94.4531,35.1418,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166151,-1353366069,96.5625,35.1379,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166161,-1343367865,98.7817,35.1365,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166171,-1333367402,100.957,35.136,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166181,-1323367514,103.066,35.1359,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166191,-1313361958,105.264,35.1358,35,0,0,0,0,0,0,0,0,0,38,27.6404,90.128,125.76,12.431,1,0,0,0,1,1,0
166206,-1298090328,107.483,35.1358,35,0,0,0,0,0,0,0,0,0,39,27.8525,90.128,125.76,12.431,1,0,0,0,1,1,0
166211,-1293367569,109.636,35.1358,35,0,0,0,0,0,0,0,0,0,39,27.8525,90.128,125.76,12.431,1,0,0,0,1,1,0
166221,-1283367162,111.921,35.1358,35,0,0,0,0,0,0,0,0,0,39,27.8525,90.128,125.76,12.431,1,0,0,0,1,1,0
166231,-1273367754,114.141,35.3186,35,0,0,0,0,0,0,0,0,0,39,27.8525,90.128,125.76,12.431,1,0,0,0,1,1,0
166241,-1263367328,116.426,35.4903,35,0,0,0,0,0,0,0,0,0,39,27.8525,90.128,125.76,12.431,1,0,0,0,1,1,0
166251,-1253367125,118.623,35.5501,35,0,0,0,0,0,0,0,0,0,39,27.8525,90.128,125.76,12.431,1,0,0,0,1,1,0
166261,-1243367606,120.93,35.571,35,0,0,0,0,0,0,0,0,0,39,27.8525,90.128,125.76,12.431,1,0,0,0,1,1,0
166271,-1233366828,123.215,35.5783,35,0,0,0,0,0,0,0,0,0,39,27.8525,90.128,125.76,12.431,1,0,0,0,1,1,0
166281,-1223366977,125.413,35.5808,35,0,0,0,0,0,0,0,0,0,39,27.8525,90.128,125.76,12.431,1,0,0,0,1,1,0
166291,-1213367143,127.808,35.5817,35,0,0,0,0,0,0,0,0,0,39,27.8525,92.224,127.856,12.2295,1,0,0,0,1,1,0
166301,-1203366921,130.291,35.582,35,0,0,0,0,0,0,0,0,0,39,27.8525,92.224,127.856,12.2295,1,0,0,0,1,1,0
166311,-1193367051,132.729,35.5821,35,0,0,0,0,0,0,0,0,0,39,27.8525,92.224,127.856,12.2295,1,0,0,0,1,1,0
