
time,time ns,angle,cadence,motorTargetCadence,pid,corrente effettiva Quad Sx,corrente effettiva Glut Sx,corrente effettiva Hams Sx,corrente effettiva Gastro Sx,corrente effettiva Quad Dx,corrente effettiva Glut Dx,corrente effettiva Hams Dx,corrente effettiva Gastro Dx,duty_cycle,motor_current,stimDistance,totalDistance,linearVelocity,powerLeft,powerRight,newDataLeft,newDataRight,connectedLeft,connectedRight,heart-rate
426407,1204671071,164.128,11.3403,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426411,1208649886,165.029,12.773,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426421,1218647516,166.018,13.2725,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426431,1228647405,166.919,13.4467,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426441,1238646886,168.062,13.5074,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426451,1248638905,169.028,13.5286,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426461,1258655627,170.149,13.536,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426471,1268646164,171.248,13.5385,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426481,1278666701,172.346,13.5394,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426491,1288691905,173.423,13.5397,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426501,1298736423,174.456,13.5398,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426511,1308680201,175.576,13.5399,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426521,1318669960,176.719,13.5399,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426531,1328665775,177.905,13.5399,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426541,1338668756,178.982,13.5399,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426551,1348679145,180.059,13.5399,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426561,1358663127,181.267,13.5399,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426571,1368665053,182.322,13.5399,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426581,1378629071,183.508,13.5399,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426591,1388627090,184.673,13.5399,45,0,0,0,0,0,0,0,0,0,47,162.729,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426604,1401656127,185.859,13.5399,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426611,1408661034,187.112,13.5399,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426621,1418626738,188.232,13.5399,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426631,1428627182,189.397,13.5399,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426641,1438641182,190.627,13.5399,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426651,1448658127,191.946,13.5399,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426661,1458627627,193.132,13.5399,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426671,1468630867,194.407,16.7879,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426681,1478664201,195.483,17.9205,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426691,1488662127,196.714,18.3154,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426701,1498661867,197.966,18.4531,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426711,1508666127,199.131,18.5011,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426721,1518661923,200.317,18.5178,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426731,1528661849,201.57,18.5236,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426741,1538661682,202.888,18.5257,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426751,1548662645,204.031,18.5264,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426761,1558661053,205.481,18.5266,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426771,1568664053,206.646,18.5267,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426781,1578679534,207.898,18.5267,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426791,1588685016,209.084,18.5268,45,0,0,0,0,0,0,0,0,0,50,182.059,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426810,1607715312,210.315,18.5268,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426811,1608646164,211.458,18.5268,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426821,1618649238,212.666,18.5268,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426831,1628647719,213.94,18.5268,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426841,1638647127,215.061,18.5268,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426851,1648647423,216.27,18.5268,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426861,1658646775,217.434,18.5268,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426871,1668647645,218.752,18.5268,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426881,1678649497,219.939,18.5268,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426891,1688646460,221.213,18.5268,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426901,1698647182,222.4,18.5268,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426911,1708646978,223.718,19.164,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426921,1718646682,224.927,19.9559,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426931,1728681108,226.223,20.232,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426941,1738676386,227.476,20.3282,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426951,1748673015,228.706,20.3618,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426961,1758648145,230.024,20.3735,45,0,0,0,0,0,0,0,0,0,50,201.78,953.682,1027.04,1.6591,0,0,0,0,1,1,0
426971,1768648552,231.343,20.3776,45,0,0,0,0,0,0,0,0,0,50,201.78,955.778,1029.14,0.239581,0,0,0,0,1,1,0
426981,1778659849,232.705,20.379,45,0,0,0,0,0,0,0,0,0,50,201.78,955.778,1029.14,0.239581,0,0,0,0,1,1,0
426991,1788655460,234.067,20.3795,50,0,0,0,0,0,0,0,0,0,50,201.78,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427007,1804740701,235.364,20.3797,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427011,1808647423,236.77,20.3798,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427021,1818643423,238.11,20.3798,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427031,1828637738,239.495,20.3798,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427041,1838638052,240.945,20.3798,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427051,1848643497,242.351,20.3798,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427061,1858638127,243.757,20.3798,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427071,1868638219,245.295,20.3798,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427081,1878704164,246.746,20.3798,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427091,1888673552,248.262,20.3798,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427101,1898667404,249.778,20.3798,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427111,1908641386,251.536,20.3798,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427121,1918640015,253.074,20.3798,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427131,1928638108,254.59,22.0112,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427141,1938638219,256.084,22.8143,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
